"Reference","Qty","Value","DNP","Footprint","Datasheet","LCSC Part #"
"U5","1","BC832","DNP","custom_foot:XCVR_BC832","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/40/BC832_V2.01_Dec-2017.pdf","C6470192"
"U4","1","NCP161ASN330T1G","","Package_TO_SOT_SMD:SOT-23-5","http://www.tme.eu/fr/Document/ced3461ed31ea70a3c416fb648e0cde7/APE8865-3.pdf","C892187"
"U3","1","LM1085-5.0","","MM_Library:5V Voltage Reg","http://www.ti.com/lit/ds/symlink/lm1084.pdf","C129950"
"U2","1","L293D","","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/l293.pdf","C12340"
"U1","1","YAAJ_BluePill_SWD_Breakout","DNP","MM_Library:STM32F103","","C22396880"
"TP6","1","GND_TP","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~",""
"TP5","1","GND_TP","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~",""
"TP4","1","TP_3V3","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~",""
"TP3","1","TP_5V","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~",""
"TP2","1","GND_TP","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~",""
"TP1","1","V_EXT_TP","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~",""
"SW_RST1","1","SW","","Button_Switch_SMD:SW_SPST_REED_CT05-XXXX-G1","C2801245","C2801245"
"SW3","1","SW","","Button_Switch_SMD:SW_SPST_REED_CT05-XXXX-G1","C2801245","C2801245"
"SW2","1","SW","","Button_Switch_SMD:SW_SPST_REED_CT05-XXXX-G1","C2801245","C2801245"
"SW1","1","SW","","Button_Switch_SMD:SW_SPST_REED_CT05-XXXX-G1","C2801245","C2801245"
"SK4","1","M2","","MountingHole:MountingHole_2.2mm_M2","~",""
"SK3","1","M2","","MountingHole:MountingHole_2.2mm_M2","~",""
"SK2","1","M2","","MountingHole:MountingHole_2.2mm_M2","~",""
"SK1","1","M2","","MountingHole:MountingHole_2.2mm_M2","~",""
"S1","1","EG1218","","MM_Library:MM Switch","https://configured-product-images.s3.amazonaws.com/Datasheets/500.pdf","C6689036"
"R24","1","47K","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://www.seielect.com/catalog/SEI-RMCF_RMCP.pdf","C25664"
"R23","1","10K","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://www.seielect.com/catalog/SEI-RMCF_RMCP.pdf","C2479751"
"R22","1","20K","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://www.seielect.com/catalog/SEI-RMCF_RMCP.pdf","C18003"
"R21","1","75","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://www.vishay.com/docs/20035/dcrcwe3.pdf","C17987"
"R20","1","75","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://www.vishay.com/docs/20035/dcrcwe3.pdf","C17987"
"R19","1","750","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://yageogroup.com/content/datasheet/asset/file/PYU-AC_51_ROHS_L","C17985"
"R16","1","47k","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://www.seielect.com/catalog/SEI-RMCF_RMCP.pdf","C25664"
