Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","AMASS_XT30UPB-M_1x02_P5.0mm_Vertical",212.700000,-130.140000,90.000000,top
"C1","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",226.770000,-131.022500,90.000000,top
"C2","100uF","CP_Radial_D6.3mm_P2.50mm",227.200000,-124.590000,180.000000,top
"C3","1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",256.167500,-122.410000,180.000000,top
"C4","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",277.950000,-133.480000,0.000000,top
"C5","100nF","C_0603_1608Metric",284.697500,-133.599000,180.000000,top
"C6","47µF","C_1206_3216Metric",283.862500,-131.479000,180.000000,top
"C7","12pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",271.290000,-117.330000,0.000000,top
"C8","12pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",275.040000,-117.280000,0.000000,top
"C9","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",224.100000,-131.020000,-90.000000,top
"C10","10uF(Tantalum)","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",248.615000,-131.367500,-90.000000,top
"C11","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",220.697500,-75.060000,0.000000,top
"C12","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",220.697500,-72.370000,0.000000,top
"C13","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",251.555000,-131.367500,-90.000000,top
"C14","1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",278.400000,-58.260000,0.000000,top
"C15","1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",257.142500,-61.040000,180.000000,top
"C16","100uF","CP_Radial_D6.3mm_P2.50mm",249.965000,-126.275000,90.000000,top
"C17","1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",215.147500,-68.210000,180.000000,top
"C18","1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",220.697500,-77.810000,0.000000,top
"C19","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",296.600000,-81.620000,90.000000,top
"C20","1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",261.440000,-59.542500,90.000000,top
"C21","1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",258.680000,-56.970000,-90.000000,top
"C22","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",290.650000,-70.290000,180.000000,top
"C25","10nF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",214.967500,-77.680000,0.000000,top
"D0","SFH4545","Emitter",291.587626,-64.245000,180.000000,top
"D1","SFH4545","Emitter",263.201997,-48.389108,120.000000,top
"D2","SFH4545","Emitter",247.330000,-46.140000,-120.000000,top
"D3","SFH4545","Emitter",220.047626,-64.155000,180.000000,top
"D4","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",242.392500,-87.760000,180.000000,top
"D5","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",242.385000,-92.160000,180.000000,top
"D6","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",242.385000,-89.920000,180.000000,top
"D7","1SS389,L3F","D_SOD-523",296.310000,-70.180000,-90.000000,top
"D9","1SS389,L3F","D_SOD-523",294.280000,-70.170000,-90.000000,top
"J5","SWD_Header","PinHeader_1x05_P2.54mm_Vertical",284.697500,-122.819000,90.000000,top
"L1","10uH","L_1206_3216Metric_Pad1.42x1.75mm_HandSolder",220.667500,-69.715000,0.000000,top
"M1","M1_Conn_Alt","JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical",273.610000,-112.830000,180.000000,top
"M2","M2_Conn_Alt","JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical",253.030000,-112.830000,180.000000,top
"M_MH1","M2","Motor_mouse",253.210000,-100.620000,0.000000,top
"M_MH2","M2","Motor_mouse",255.897500,-100.620000,180.000000,top
"Q0","TEFT4300","Emitter",286.480000,-59.810000,180.000000,top
"Q1","TEFT4300","Emitter",266.985443,-52.424852,120.000000,top
"Q2","TEFT4300","Emitter",243.452102,-50.176051,-120.000000,top
"Q3","TEFT4300","Emitter",225.020000,-59.950000,180.000000,top
"Q9","Q_NMOS_GSD","SOT-23",273.727500,-59.530000,0.000000,top
"Q10","Q_NMOS_GSD","SOT-23",246.440000,-55.312500,90.000000,top
"Q11","Q_NMOS_GSD","SOT-23",235.795000,-54.172500,90.000000,top
"Q12","Q_NMOS_GSD","SOT-23",230.860000,-60.160000,180.000000,top
"R1","1.8K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",278.435000,-55.170000,0.000000,top
"R2","1.8K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",255.945000,-57.080000,90.000000,top
"R3","1.8K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",267.210000,-59.470000,-90.000000,top
"R4","1.8K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",264.280000,-59.520000,-90.000000,top
"R5","36","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",278.400000,-61.290000,180.000000,top
"R6","36","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",251.870000,-55.730000,180.000000,top
"R7","36","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",240.090000,-59.400000,-90.000000,top
"R8","36","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",223.960000,-62.770000,0.000000,top
"R9","47K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",287.920000,-81.680000,90.000000,top
"R10","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",283.530000,-127.840000,-90.000000,top
"R12","47K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",293.780000,-81.670000,90.000000,top
"R13","47k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",270.265000,-59.380000,-90.000000,top
"R14","47k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",246.040000,-58.980000,180.000000,top
"R15","47k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",235.970000,-57.960000,180.000000,top
"R16","47k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",236.020000,-60.690000,180.000000,top
"R17","47K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",291.000000,-81.680000,-90.000000,top
"R19","750","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",237.450000,-87.480000,180.000000,top
"R20","75","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",237.450000,-92.470000,180.000000,top
"R21","75","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",237.460000,-89.960000,180.000000,top
"R22","20K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",250.380000,-59.970000,-90.000000,top
"R23","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",252.970000,-59.960000,90.000000,top
"R24","47K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",285.080000,-81.710000,90.000000,top
"S1","EG1218","MM Switch",213.920000,-127.690000,-90.000000,top
"SW1","SW","SW4_SKRPABE010_ALPS",286.555001,-75.585000,180.000000,top
"SW2","SW","SW4_SKRPABE010_ALPS",291.097600,-75.570000,180.000000,top
"SW_RST1","SW","SW4_SKRPABE010_ALPS",295.642400,-75.570000,0.000000,top
"TP1","V_EXT_TP","PinHeader_1x01_P2.54mm_Vertical",229.710000,-117.560000,0.000000,top
"TP2","GND_TP","PinHeader_1x01_P2.54mm_Vertical",214.200000,-64.620000,0.000000,top
"TP3","TP_5V","PinHeader_1x01_P2.54mm_Vertical",256.260000,-132.790000,0.000000,top
"TP4","TP_3V3","PinHeader_1x01_P2.54mm_Vertical",214.690000,-82.430000,0.000000,top
"TP5","GND_TP","PinHeader_1x01_P2.54mm_Vertical",284.610000,-65.130000,0.000000,top
"TP6","GND_TP","PinHeader_1x01_P2.54mm_Vertical",256.190000,-126.830000,0.000000,top
"U1","YAAJ_BluePill_SWD_Breakout","STM32F103",252.050000,-74.720000,90.000000,top
"U2","L293D","DIP-16_W7.62mm",278.390000,-123.130000,-90.000000,top
"U3","LM1085-5.0","5V Voltage Reg",238.102000,-136.102000,0.000000,top
"U4","NCP161ASN330T1G","SOT-23-5",215.640000,-74.067500,-90.000000,top
"U5","BC832","XCVR_BC832",291.492500,-129.691000,180.000000,top
"Y1","ABS07-32.768KHZ-T","CAP_ABS07-32.768KHZ-T_ABR",274.940000,-119.550000,180.000000,top
