"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW_RST1,SW2,SW1";"SW4_SKRPABE010_ALPS";3;"SW";;;
2;"C6";"C_1206_3216Metric";1;"47µF";;;
3;"D0,D2,D1,D3";"Emitter";4;"SFH4545";;;
4;"C15,C3,C17,C21,C18,C14,C20";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";7;"1uF";;;
5;"Q11,Q12,Q9,Q10";"SOT-23";4;"Q_NMOS_GSD";;;
6;"C25";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"10nF";;;
7;"BT_MH1,SK1,BT_MH3,SK2,SK4,BT_MH2,SK3,BT_MH4";"MountingHole_2.2mm_M2";8;"M2";;;
8;"J5";"PinHeader_1x05_P2.54mm_Vertical";1;"SWD_Header";;;
9;"R21,R20";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"75";;;
10;"U1";"STM32F103";1;"YAAJ_BluePill_SWD_Breakout";;;
11;"C13,C19,C4,C22,C1,C12";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";6;"0.1uF";;;
12;"Q3,Q1,Q0,Q2";"Emitter";4;"TEFT4300";;;
13;"C5";"C_0603_1608Metric";1;"100nF";;;
14;"R22";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"20K";;;
15;"R13,R16,R15,R14";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";4;"47k";;;
16;"D5,D4,D6";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"LED";;;
17;"R4,R2,R3,R1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";4;"1.8K";;;
18;"R23,R10";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"10K";;;
19;"R19";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"750";;;
20;"JP4";"SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm";1;"Jumper_2_Open";;;
21;"Y1";"CAP_ABS07-32.768KHZ-T_ABR";1;"ABS07-32.768KHZ-T";;;
22;"C7,C8";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"12pF";;;
23;"TP6,TP2,TP5";"PinHeader_1x01_P2.54mm_Vertical";3;"GND_TP";;;
24;"R9,R24,R17,R12";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";4;"47K";;;
25;"M_MH1,M_MH2";"Motor_mouse";2;"M2";;;
26;"R6,R5,R7,R8";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";4;"36";;;
27;"U5";"XCVR_BC832";1;"BC832";;;
28;"U4";"SOT-23-5";1;"NCP161ASN330T1G";;;
29;"D9,D7";"D_SOD-523";2;"1SS389,L3F";;;
30;"M2";"JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical";1;"M2_Conn_Alt";;;
31;"M1";"JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical";1;"M1_Conn_Alt";;;
32;"C9,C11";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"10uF";;;
33;"S1";"MM Switch";1;"EG1218";;;
34;"C2,C16";"CP_Radial_D6.3mm_P2.50mm";2;"100uF";;;
35;"TP4";"PinHeader_1x01_P2.54mm_Vertical";1;"TP_3V3";;;
36;"U2";"DIP-16_W7.62mm";1;"L293D";;;
37;"L1";"L_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"10uH";;;
38;"U3";"5V Voltage Reg";1;"LM1085-5.0";;;
39;"TP3";"PinHeader_1x01_P2.54mm_Vertical";1;"TP_5V";;;
40;"TP1";"PinHeader_1x01_P2.54mm_Vertical";1;"V_EXT_TP";;;
41;"C10";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"10uF(Tantalum)";;;
42;"BT1";"AMASS_XT30UPB-M_1x02_P5.0mm_Vertical";1;"Battery_Cell";;;
